"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction","#output configurations","product generation stopped"
"4060",31,20,6893,104,18,0,0,0,0,61,18,513,592,50,10,10,10,8,"false",1776,9,6,1339,671,25,40,16,0,46,40,0,1,4,293,5,3,285,1,NA,NA
"4061",31,20,7017,76,34,0,1,0,0,32,33,672,737,50,10,10,10,8,"false",1828,9,6,1353,684,34,31,14,1,64,56,1,2,4,315,5,5,305,1,NA,NA
"4062",31,20,7334,88,8,0,1,0,0,46,7,592,645,50,10,10,10,9,"false",1795,8,7,1365,678,24,30,15,1,35,27,0,3,4,307,5,4,298,2,NA,NA
"4063",31,20,7473,33,0,0,0,0,0,2,0,331,333,50,20,20,10,10,"false",1959,10,6,1494,751,21,37,16,1,23,17,0,1,4,349,4,1,344,1,NA,NA
"4064",31,20,7540,32,1,0,0,0,0,1,1,303,305,50,20,20,10,10,"false",1995,10,6,1524,785,31,29,16,1,25,19,0,1,4,350,4,3,343,2,NA,NA
"4065",31,20,7542,31,1,0,1,0,0,1,0,346,347,50,20,20,10,10,"false",1979,10,6,1506,764,23,35,16,1,27,19,0,3,4,351,4,3,343,1,NA,NA
"4066",31,20,7677,34,1,0,1,0,0,1,0,350,351,50,20,20,10,10,"false",1976,10,6,1502,762,30,29,16,1,28,20,0,3,3,351,4,3,343,1,NA,NA
"4067",31,20,7693,32,1,0,1,0,0,1,0,307,308,50,20,20,10,10,"false",1980,10,6,1506,763,31,28,16,0,28,20,0,3,3,351,4,3,344,1,NA,NA
"4068",31,20,7752,33,2,0,0,0,0,1,2,419,422,50,20,20,10,10,"false",1966,10,6,1501,748,24,28,16,1,26,20,0,1,4,352,5,2,345,1,NA,NA
"4069",31,20,7775,35,4,0,0,0,0,2,4,218,224,50,20,20,10,10,"false",1968,10,6,1501,756,34,28,16,1,29,22,1,0,4,341,4,2,335,1,NA,NA
